underlying,underlying_last, exchange,optionroot,optionext,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,impliedvol,delta,gamma,theta,vega,optionalias
SPX,1921.42,*,SPX151016C00400000,,call,10/16/2015,10/01/2015,400,0,1518.7,1525.2,0,0,0.2589,1,0,-1.2854,0,SPX151016C00400000
SPX,1921.42,*,SPX151016C00500000,,call,10/16/2015,10/01/2015,500,0,1418.8,1425.2,0,0,0.2589,1,0,-1.6068,0,SPX151016C00500000
SPX,1921.42,*,SPX151016C00600000,,call,10/16/2015,10/01/2015,600,0,1318.8,1325.2,0,0,0.2589,1,0,-1.9282,0,SPX151016C00600000
SPX,1921.42,*,SPX151016C00700000,,call,10/16/2015,10/01/2015,700,0,1218.8,1225.3,0,0,0.2589,1,0,-2.2495,0,SPX151016C00700000
SPX,1921.42,*,SPX151016C00750000,,call,10/16/2015,10/01/2015,750,0,1168.8,1175.3,0,0,0.2589,1,0,-2.4102,0,SPX151016C00750000
